Role,Name,Name Tag,Perk Name,Perk Tag,Desc,Teach Level
Survivor,Feng Min,FM,Technician,Technician,"You are apt at handling machinery with the greatest care and precision.\nThe noises caused by your Repairs and their hearing distance are reduced by 8 metres.\nOn a failed Repair Skill Check, there is a 50 % chance that the Generator Explosion will be prevented.",30
Survivor,Feng Min,FM,Lithe,Lithe,"After performing a rushed vault, break into a sprint at 150 % of your normal running speed for a maximum of 3 seconds.\nCauses the Exhausted Status Effect for 40 seconds. Lithe cannot be used while Exhausted. You do not recover from Exhaustion while running.",35
Survivor,Feng Min,FM,Alert,Alert,"Your acute senses are on high alert.\nWhen the Killer performs a Pallet Break or Generator Damage action, their Aura is revealed to you for 5 seconds.",40
Survivor,David King,DK,We're Gonna Live Forever,WereGonnaLiveForever,"Your few friends deserve the best protection.\nEach time you perform a Safe Hook Rescue or take a Protection Hit for a Survivor, gain a stack-able 25 % Bonus to all Bloodpoint gains up to a maximum of 100 %.\nThe Bonus Bloodpoints are only awarded post-Trial.",30
Survivor,David King,DK,Dead Hard,DeadHard,"Activate-able Perk.\nYou can take a beating. When Injured, tap into your adrenaline bank and dash forward quickly to avoid damage.\nPress the Active Ability button while running to dash forward. During the dash, you avoid damage. Causes the Exhausted Status Effect for40 seconds.\nDead Hard cannot be used while Exhausted.\nYou do not recover from Exhaustion while running.",35
Survivor,David King,DK,No Mither,NoMither,You are affected by the Broken Status Effect for the duration of the Trial. Your thick blood coagulates practically instantly.\n• You do not leave Pools of Blood.\n• Grunts of Pain caused by injuries are reduced by 50 % at any time.\n• Grants the ability to fully recover from the Dying State.,40
Survivor,Quentin Smith,ES,Wake Up!,WakeUp,"Unlocks potential in one's Aura-reading ability.\nOnce all Generators are powered, Exit Gates are revealed to you when within a range of 128 metres. While opening the Exit Gates, reveal your to other Survivors within a range of 128 metres. While Wake Up! is active, you open Exit Gates 15 % faster.",30
Survivor,Quentin Smith,ES,Pharmacy,Pharmacy,You have a knack for finding medicine.\nSearches through Chests are 80 % faster and the noises they cause along with their hearing distance are reduced by 8 metres.\nPharmacy guarantees an Emergency Med-Kit on your first completed Chest Search.,35
Survivor,Quentin Smith,ES,Vigil,Vigil,"You look over your friends even in dire situations.\nYou and your Allies within a range of 8 metres recover from Exhaustion, Haemorrhage, Mangled, Hindered and Blindness Status Effects 20 % faster. Once out of range, this effect persists for 15 seconds.",40
Survivor,David Tapp,FS,Tenacity,Tenacity,There is nothing stopping you. Your ferocious tenacity in dire situations allows you to crawl 50 % faster and recover at the same time.,30
Survivor,David Tapp,FS,Detective's Hunch,DetectivesHunch,"Unlocks potential in one's Aura-reading ability.\nAfter a Generator is completed, the Auras of Generators, Chests and Totems within 64 metres are revealed to you for 10 seconds.\nIf you are holding a Map that can track Objectives, Generators revealed by Detective's Hunch are added to the Map.",35
Survivor,David Tapp,FS,Stake Out,StakeOut,"Getting close to the Killer fills you with determination.\nFor each 15 seconds you are standing within the Killer's Terror Radius and are not in a Chase, you gain a Token up to a maximum of 4 Tokens. When Stake Out has at least 1 Token, Good Skill Checks are considered Great Skill Checks and consume 1 Token.",40
Survivor,Kate Denson,GS,Dance With Me,DanceWithMe,"When performing a fast vault or leaving a Locker in a sprint, you leave no Scratch Marks for 3 seconds.\nDance With Me has a cool-down of 40 seconds.",30
Survivor,Kate Denson,GS,Windows of Opportunity,WindowsofOpportunity,Unlocks potential in one's Aura-reading ability.\nAuras of Pallets and Vaults are revealed to you when within a range of 20 metres. Windows of Opportunity has a cool-down of 20 seconds when vaulting or dropping a Pallet during a Chase.,35
Survivor,Kate Denson,GS,Boil Over,BoilOver,You are a battler and do everything to escape a foe's grasp.\nYour struggling effects on the Killer are increased by 75 %.\nYou obscure the Killer's ability to see Hook Auras within 14 metres.,40
Survivor,Adam Francis,HS,Diversion,Diversion,"Activate-able Perk. Standing within the Killer's Terror Radius while not in a Chase for 45 seconds activates Diversion. Once Diversion is activated, press the Active Ability button while crouched and motionless to throw a pebble, which creates a loud noise notification for the Killer at a distance of 20 metres.\nDiversion deactivates once it has been used.",30
Survivor,Adam Francis,HS,Deliverance,Deliverance,"After performing a Safe Hook Rescue on another Survivor, the Perk activates.\nYou now have a 100 % chance to unhook yourself during the escape attempt.\nA successful Deliverance from the Hook triggers the Broken Status Effect for 60 seconds.",35
Survivor,Adam Francis,HS,Autodidact,Autodidact,"You stand up for yourself, using whatever's on hand to gain an advantage.\nPress and hold the Active Ability button for 4 seconds while standing beside a dropped Pallet to reset it to its upright position.\nAny Means Necessary has a cool-down of 120 seconds.",40
Survivor,Jeff Johansen,KS,Breakdown,Breakdown,"Any time you are unhooked or unhook yourself, the Hook breaks and the Killer's is shown to you for 6 seconds.",30
Survivor,Jeff Johansen,KS,Aftercare,Aftercare,Unlocks potential in one's Aura-reading ability.\nYou see the Aura of every Survivor that:\n• You rescued from a Hook or who rescued you from one.\n• You completed a Healing action on or who completed one on you.\nThey also see your Aura.\nThis occurs for up to 3 Survivors.\nAll effects of Aftercare are reset when you are hooked by the Killer.,35
Survivor,Jeff Johansen,KS,Distortion,Distortion,"You start the Trial with 3 Tokens.\nWhen your Aura would be shown to the Killer, the Perk activates and a Token is consumed. For the next 10 seconds while the Perk is activated, your Aura and Scratch Marks will not be shown to the Killer.\nDistortion does not activate when you are in the Dying State or affected by Traps.",40
Survivor,Jane Romero,MS,Solidarity,Solidarity,"Sharing painful experiences has the power to heal. While injured, healing a Survivor without using a Med-Kit also heals you at a 50 % conversion rate.",30
Survivor,Jane Romero,MS,Poised,Poised,"Achieving goals boosts your confidence.\nAfter a Generator is completed, you leave no Scratch Marks for 10 seconds.",35
Survivor,Jane Romero,MS,Head On,HeadOn,"When your mind is set, there better be no one standing in your way.\nWhile standing in a Locker for 3 seconds, Head On activates. While Head On is activated, performing a rushed action to leave a Locker stuns the Killer for 3 seconds if they are standing within range.\nCauses the Exhausted Status Effect for 40 seconds if the stun was successful.\nYou do not recover from Exhaustion while running. Head On cannot be used while Exhausted or when you have accrued Stillness Crows.",40
Survivor,Ash Williams,AW,Flip-Flop,FlipFlop,"You have an uncanny ability to escape the inevitable.\nWhile in the Dying State, 50 % of your recovery progression is converted into wiggle progression when you are picked up by the Killer, up to a maximum of 50 % total wiggle progression.",30
Survivor,Ash Williams,AW,Buckle Up,BuckleUp,"Unlocks potential in one's Aura-reading ability.\nThe recovery progress of dying Survivors can be determined by the intensity of their Auras at a distance of up to 48 metres.\nWhen you heal a Survivor from the Dying State to Injured, both the healed Survivor and yourself see the Killer's Aura for a duration of 6 seconds.",35
Survivor,Ash Williams,AW,Mettle of Man,MettleofMan,"Evil has a way of always finding you.\nAfter you earn 3 Protection Hit Score Events, Mettle of Man activates. Once activated, the next occasion that would put you into the Dying State from the Injured State is ignored.The next time you heal back to full health, your Aura will be revealed to the Killer when you are farther than 12/14/16 metres from the Killer.\nMettle of Man will deactivate the next time you are put into the Dying State.\nIncreases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",40
Survivor,Nancy Wheeler,QF,Better Together,BetterTogether,"You seek justice and uncover the truth no matter what obstacle stands in your way.\nThe Aura of the Generator you are currently repairing is revealed to all other Survivors located within 32 metres.\nIf the Killer downs a Survivor while you are repairing a Generator, you see the Auras off all other Survivors for 10 seconds.",30
Survivor,Nancy Wheeler,QF,Fixated,Fixated,"When you have a goal in mind, there's no turning back; better to ask forgiveness than permission.\nYou can see your own Scratch Marks at all times.\nWhile uninjured, you walk 20 % faster.",35
Survivor,Nancy Wheeler,QF,Inner Strength,InnerStrength,"You look inwards and trust your instincts when you feel lost and alone.\nEach time you cleanse a Totem, Inner Strength activates. While Inner Strength is activated, hiding inside a Locker for 8 seconds while Injured automatically heals you to the Healthy State.\nInner Strength does not activate if you are afflicted by the Broken Status Effect.",40
Survivor,Steve Harrington,QM,Babysitter,Babysitter,"While you have a reputation for being self-centred, you risk it all to help those in need.\nWhen you unhook a Survivor, the unhooked Survivor leaves no Scratch Marks or Blood Trail for the next 8 seconds.\nBoth you and the Killer see each other's Aura for 4 seconds.",30
Survivor,Steve Harrington,QM,Camaraderie,Camaraderie,"Life has taught you the importance of friendship which has given you strength.\nWhile you are on the Hook in the Struggle Phase, Camaraderie activates.\nIf another Survivor is within 16 metres of your Hook while Camaraderie is activated, the Struggle Phase timer is paused for 34 seconds.",35
Survivor,Steve Harrington,QM,Second Wind,SecondWind,"You have learnt to avoid awkward situations with parents.\nWhen you have healed other Survivors for the equivalent of one Health State, Second Wind activates. While Second Wind is activated, the next time you are unhooked or unhook yourself, you are affected by the Broken Status Effect. After a total duration of 30 seconds, Second Wind automatically heals you from Injured to the Healthy State.\nSecond Wind deactivates once you are completely healed or if you are put into the Dying State before Second Wind successfully triggers.\nYou will lose the Broken Status Effect once Second Wind deactivates. Second Wind does not activate if you are already afflicted by the Broken Status Effect.",40
Survivor,Yui Kimura,SS,Lucky Break,LuckyBreak,"You've had your share of scrapes and bruises, but luck's always on your side.\nLucky Break activates any time you are injured. While Lucky Break is active, you won't leave trails of blood for a total of 180 seconds.\nLucky Break becomes permanently deactivated for the remainder of the Trial once the total duration has elapsed.",30
Survivor,Yui Kimura,SS,Any Means Necessary,AnyMeansNecessary,"You stand up for yourself, using whatever's on hand to gain an advantage.\nPress and hold the Active Ability button for 4 seconds while standing beside a dropped Pallet to reset it to its upright position.\nAny Means Necessary has a cool-down of 120 seconds.",35
Survivor,Yui Kimura,SS,Breakout,Breakout,"You kick into high gear when someone's in trouble, inspiring them to overcome any obstacle.\nWhen within 6 metres of a carried Survivor, you gain the Haste Status Effect, moving at an increased speed of 7 %.\nThe carried Survivor's wiggle speed is increased by 20 %.",40
Survivor,All,All,Dark Sense,DarkSense,"Unlocks potential in one's Aura-reading abilities.\nEach time a Generator is completed, the Killer's Aura is revealed to you for 5 seconds.\nWhen the last Generator is powered, the Killer's Aura is revealed to you for 10 seconds.",
Survivor,All,All,Déjà Vu,DejaVu,"Unlocks potential in one's Aura-reading ability.\nThe Auras of 3 Generators in closest proximity to each other are revealed to you for 60 seconds, at the start of the Trial and each time a Generator is completed.\nIf you are holding a Map that can track Objectives, Generators revealed by Déjà Vu are added to the Map.",
Survivor,All,All,Hope,Hope,"The growing odds of a successful escape fill you with hope and give you wings.\nAs soon as the Exit Gates are powered, you gain a 7 % Haste status Effect for 120 seconds.",
Survivor,All,All,Kindred,Kindred,"Unlocks potential in one's Aura-reading ability.\nWhile you are on the Hook, all Survivor Auras are revealed to all Survivors. If the Killer is within a range of 16 metres, their Aura is also revealed to all Survivors.\nWhile any other Survivor is on the Hook, all Survivor Auras are revealed to you. If the Killer is within a range of 16 metres, their Aura is also revealed to you.",
Survivor,All,All,Lightweight,Lightweight,"Your running is light and soft, making your tracks harder to follow.\nScratch Marks stay visible 3 seconds less than normal.",
Survivor,All,All,No One Left Behind,NoOneLeftBehind,"It is inconceivable to leave someone behind.\nOnce at least one Exit Gates has been opened, triggering the Endgame Collapse, gain 100 % more Bloodpoints for actions in the Altruism Category and perform them 50 % quicker.\nThe Auras of all other Survivors are revealed to you.",
Survivor,All,All,Plunderer's Instinct,PlunderersInstinct,Unlocks potential in one's Aura-reading ability. \nThe Auras of Chests are revealed to you when standing within 32 metres of range.\nGrants a considerably better chance at finding an Item of a higher Rarity from Chests.,
Survivor,All,All,Premonition,Premonition,You have the undeniable capability to sense danger. \nGet an auditory warning when looking in the direction of the Killer in a 45° cone within a range of 36 metres.\nPremonition has a cool-down of 30 seconds each time it activates.\nPremonition trumps any of the Killer's stealth abilities.,
Survivor,All,All,Resilience,Resilience,"You are motivated in dire situations.\nGrants 9 % increased Healing, Sabotage, Unhooking, Vaulting, Cleansing, Exit Gate Opening, and Chest Searching speeds while Injured.",
Survivor,All,All,Slippery Meat,SlipperyMeat,You have developed an efficient way to get out of Bear Traps and Hooks.\nGrants up to 3 extra escape attempts on the Hook.\nThe odds of freeing yourself from Bear Traps are increased by 25 %.,
Survivor,All,All,Small Game,SmallGame,You have the undeniable capability to sense danger.\nGet an auditory warning when looking in the direction of Killer Traps and Totems in a 45° cone within a range of 12 metres.\nSmall Game has a cool-down of 10 seconds each time it activates.\nOnly works on Traps that are set by Killers.,
Survivor,All,All,Spine Chill,SpineChill,"An unnatural tingle warns you of impending doom.\nGet notified when the Killer is looking directly in your direction and standing within a range of 36 metres.\nWhen Spine Chill is active, Skill Check trigger odds are increased by 10 % with success zones reduced by 10 % and your Repair, Heal and Sabotage speeds are increased by 6 %.",
Survivor,All,All,This Is Not Happening,ThisIsNotHappening,"You perform at your best when you are under extreme stress.\nGreat Skill Check IconHelp skillChecks.png success zones when repairing, healing and sabotaging get 30 % bigger when you are Injured.",
Survivor,All,All,We'll Make It,WellMakeIt,"Helping others heightens your morale.\nFor each Survivor you rescue from a Hook, gain an additional 100 % speed increase to healing up others for 90 seconds.\nCumulative Healing Speed bonuses cannot exceed 100 %.",
Killer,Trapper,TR,Unnerving Presence,UnnervingPresence,"Your presence alone instils great fear.\nSurvivors within your Terror Radius have a 10 % greater chance of triggering Skill Checks when repairing, healing or sabotaging.\nTriggered Skill Checks' success zones are reduced by 60 %.",30
Killer,Trapper,TR,Brutal Strength,BrutalStrength,Your great strength allows you to shred through your prey's defences.\nDestroy dropped Pallets and damage Generators 20 % faster.,35
Killer,Trapper,TR,Agitation,Agitation,"You get excited in anticipation of hooking your prey.\nIncreases your Movement speed while transporting bodies by 18 %.\nWhile transporting a body, your Terror Radius is increased by 12 metres.",40
Killer,Wraith,WR,Predator,Predator,Your acute tracking ability allows you to hone in on disturbances left by running Survivors.\nScratch Marks left by Survivors will spawn slightly/moderately/considerably closer together.,30
Killer,Wraith,WR,Bloodhound,Bloodhound,"Like a hunting scent hound, you smell traces of blood at a great distance.\nFresh Blood Stains are considerably more discernible than normal and can be tracked for 4 seconds longer than normal.",35
Killer,Wraith,WR,Shadowborn,Shadowborn,You have a keen vision in the darkness of the night.\nYour Field of View is increased by 15 °.\nField of View gains do not stack.,40
Killer,Hillbilly,HB,Enduring,Enduring,You are resilient to pain.\nYou reduce the duration of Pallet Stuns by 50 %.,30
Killer,Hillbilly,HB,Lightborn,Lightborn,"Unlike other beasts of The Fog, you have adapted to light.\nResistance to Blindness is increased by 80 %.\nRecovery from Blindness is increased by 50 %.",35
Killer,Hillbilly,HB,Tinkerer,Tinkerer,"When a Generator is repaired to 85 %, you receive a Loud Noise notification and your Terror Radius is reduced to 0 metres for 12 seconds.",40
Killer,Nurse,NR,Stridor,Stridor,You are acutely sensitive to the breathing of your prey.\nSurvivors' Grunts of Pain are 50 % louder and regular breathing is 25 % louder.,30
Killer,Nurse,NR,Thanatophobia,Thanatophobia,"Their courage fades in the face of their undeniable mortality.\nFor each Injured, Dying or hooked Survivor, all Survivors receive a stack-able penalty of 3/3.5/4 % to their Repair, Healing and Sabotage speed up to a maximum of 16 %.",35
Killer,Nurse,NR,A Nurse's Calling,AnursesCalling,"Unlocks potential in one's Aura-reading ability.\nThe Auras of Survivors who are healing or being healed are revealed to you when they are within a range of 28 metres,",40
Killer,Myers,SH,Save the Best for Last,SavetheBestforLast,You become obsessed with one Survivor.\nEarn a Token for each successful hit that is not dealt to the Obsession.\nEach Token grants a stack-able 5 % cool-down reduction on successful attacks. You can earn up to 8 Tokens.\nAttacking your Obsession will make you lose 2 Tokens. You can no longer gain Tokens if your Obsession is sacrificed or killed.\nYou can only be obsessed with one Survivor at a time.,30
Killer,Myers,SH,Play with Your Food,PlaywithYourFood,"You become obsessed with one Survivor.\nEvery time you chase your Obsession and let them escape, you receive a Token up to a maximum of 3 Tokens.\nEach Token increases your Movement speed by 5 %.\nEach offensive action spends 1 Token.\nYou can only be obsessed with one Survivor at a time.",35
Killer,Myers,SH,Dying Light,DyingLight,"You become obsessed with one Survivor.\nYour Obsession gains a 33 % Action Speed bonus to unhooking and healing other Survivors.\nEach time you hook a Survivor that is not the Obsession and the Obsession is alive, gain a Token.\nIf the Obsession is alive, all others Survivors get a stack-able 3 % penalty to Repair, Healing, and Sabotage speed for each Token.\nYou can only be obsessed with one Survivor at a time.",40
Killer,Hag,HA,Hex: The Third Seal,HexTheThirdSeal,A Hex that hinders one's Aura-reading ability.\nHitting a Survivor while the Hex Totem is active applies the Blindness Status Effect.\nThis effect applies to the last 4 Survivors hit.\nThe Hex effects persist as long as the related Hex Totem is standing.,30
Killer,Hag,HA,Hex: Ruin,HexRuin,"A Hex that affects the Survivors' skills at repairing Generators.\nAll Survivors are affected by Ruin, which causes the following:\n• Good Skill Checks result in a 5 % Regression penalty on the Generator.\n• Great Skill Checks grant 0 % Bonus Progression on the Generator.\nThe Hex effects persist as long as the related Hex Totem is standing.",35
Killer,Hag,HA,Hex: Devour Hope,HexDevourHope,"A Hex rooting its power on hope. The false hope of Survivors ignites your hunger.\nWhen a Survivor is rescued from a Hook at least 24 metres away, Devour Hope receives a Token.\n• 2 Tokens: Gain a 3/4/5 % Haste Status Effect 10 seconds after hooking a Survivor, for a duration of 10 seconds.\n• 3 Tokens: Survivors suffer from the Exposed Status Effect.\n• 5 Tokens: Grants the ability to kill Survivors by your own hand.\nThe Hex effects persist as long as the related Hex Totem is standing.",40
Killer,Doctor,DO,Overwhelming Presence,OverwhelmingPresence,Your presence alone instils great fear. Survivors within your Terror Radius suffer from inefficiency.\nAffected Survivors' Item Consumption rates are increased by 100 %.,30
Killer,Doctor,DO,Monitor & Abuse,MonitorAbuse,"Meticulous in your approach, terrifying in your application.\nWhile in a Chase, your Terror Radius is increased by 8 metres.\nOtherwise, your Terror Radius is decreased by 8 metres and your Field of View is increased by 10 °.\nField of View gains do not stack.",35
Killer,Doctor,DO,Overcharge,Overcharge,"You are fuelled by your hate for progress.\nOvercharge a Generator by performing the Damage Generator action.\nThe next Survivor interacting with that Generator is faced with a tremendously difficult Skill Check.\nFailing the Skill Check results in an additional 5 % Regression penalty. Succeeding the Skill Check grants no progress, but prevents the Generator Explosion.",40
Killer,Huntress,BE,Beast of Prey,BeastofPrey,"Your lust for a kill is so intense that your connection with The Entity is momentarily lost, making you totally unpredictable.\nThe Red Stain disappears after gaining Bloodlust Tier I and stays hidden until you lose Bloodlust.\nGain 50 % more Bloodpoints for actions in the Hunter Category.",30
Killer,Huntress,BE,Territorial Imperative,TerritorialImperative,Unlocks potential in one's Aura-reading ability.\nSurvivors' Auras are revealed to you for 3 seconds when they enter the Basement and you are more than 32 metres away from the Basement entrance.\nTerritorial Imperative can only be triggered once every 20 seconds.,35
Killer,Huntress,BE,Hex: Huntress Lullaby,HexHuntressLullaby,"A Hex rooting its power in despair. Your hunt is an irresistible song of dread which muddles your prey's attention.\nSurvivors receive a 6 % Regression penalty when missing any Skill Check.\nEach time a Survivor is hooked, Huntress Lullaby grows in power:\n• 1 to 4 Tokens: Time between the Skill Check warning sound and the Skill Check becomes shorter.\n• 5 Tokens: No Skill Check warning.\nThe Hex effects persist as long as the related Hex Totem is standing.",40
Killer,Cannibal,CA,Knock Out,KnockOut,The trauma caused by your brutal attacks makes crying for help painfully difficult.\nDying Survivors' Auras are not revealed to other Survivors when they are standing outside of a range of 16 metres.,30
Killer,Cannibal,CA,Barbecue & Chilli,BarbecueChilli,"A deep bond with The Entity unlocks potential in one's Aura-reading ability.\nAfter hooking a Survivor, all other Survivors' Auras are revealed to you for 4 seconds when they are farther than 40 metres from the Hook.\nEach time a Survivor is hooked for the first time, gain a 25 % stack-able bonus to all Bloodpoint gains up to a maximum of 100 %.\nThe bonus Bloodpoints are only awarded post-Trial.",35
Killer,Cannibal,CA,Franklin's Demise,FranklinsDemise,"Your vicious Basic Attacks make the Survivors drop their Item on impact.\nThe lost Item is damaged in the fall, losing 10 % of its base amount of Charges.",40
Killer,Freddy,EK,Fire Up,FireUp,"The increased pressure of losing your preys fills you with anger and gives you unsuspected motivation. Each time the Survivors complete repairs on a Generator, Fire Up grows in power.\n• For each Generator completed, gain a stack-able 4 % buff to Picking-Up, Dropping, Pallet Breaking, Generator Damaging and Vaulting speeds for the remainder of the Trial.",30
Killer,Freddy,EK,Remember Me,RememberMe,"You become obsessed with one Survivor.\nEach time you hit your Obsession IconHelp obsession.png, you increase the Exit Gate Opening time by 4 seconds up to a maximum of 16 additional seconds.\nThe Obsession is not affected by Remember Me.\nYou can only be obsessed with one Survivor at a time.",35
Killer,Freddy,EK,Blood Warden,BloodWarden,"As soon as the Exit Gate is opened, Blood Warden is activated. The Auras of any Survivors located within Exit Gate areas are revealed to you.\nOnce per Trial, hooking a Survivor while Blood Warden is active calls upon The Entity to block both Exits for all Survivors for 60 seconds.",40
Killer,Pig,FK,Hangman's Trick,HangmansTrick,"Unlocks potential in one's Aura-reading ability.\nAll regressing Generators will be highlighted by a white Aura. Once regression ends, Generators will be highlighted by a yellow Aura for 16 seconds.\nNoises created by Generator Repairs are audible at an additional 8 metres.",30
