Role,Name,Name Tag,Perk Name,Perk Tag,Desc,Teach Level,isPTB,lang
Survivor,Laurie Strode,LS,Sole Survivor,SoleSurvivor,"As more of your friends fall to the Killer, you become shrouded in isolation and the Killer's Aura-reading abilities towards you are disrupted.  Your Aura cannot be read by the Killer within a maximum range of 20/22/24 metres for each killed or sacrificed Survivor. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",30,,en
Survivor,Laurie Strode,LS,Object of Obsession,ObjectofObsession,"A supernatural bond links you to the Killer.  If you are looking in the Killer's direction, your link will reveal your Auras to each other. This effect applies only if you are outside of the Killer's Terror Radius. As the Killer's Obsession, this effect applies to a maximum range of 56/64/72 metres. Otherwise, it applies to a maximum range of 44/56/64 metres. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",35,,en
Survivor,Laurie Strode,LS,Decisive Strike,DecisiveStrike,"Using whatever is at hand, you stab at your aggressor in an ultimate attempt to escape. After being unhooked or unhooking yourself, Decisive Strike will become active and usable for 40/50/60 seconds. While Decisive Strike is active, when grabbed by the Killer, succeed a Skill Check to automatically escape the Killer's grasp and stun them for 5 seconds.  • Succeeding or failing the Skill Check will disable Decisive Strike. • Successfully stunning the Killer will result in you becoming the Obsession. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",40,,en
Survivor,Ace Visconti,AV,Open-Handed,OpenHanded,Strengthens the potential of you and your team's Aura-reading abilities. Increases Aura-reading ranges by 4/6/8 metres.,30,,en
Survivor,Ace Visconti,AV,Up the Ante,UptheAnte,"All will be well in the end; you just know it. Your confidence strengthens the feeling of hope for those around you. For each other Survivor still alive, grant a 1/2/3 % Luck Bonus to all remaining Survivors.",35,,en
Survivor,Ace Visconti,AV,Ace in the Hole,AceintheHole,"Lady Luck always seems to be throwing something good your way. When retrieving an Item from a Chest, there is a 100 % chance that an Add-on of Very Rare Rarity or lower will be attached to it. 10/25/50 % chance to find a second Add-on of Uncommon Rarity or lower. Ace in the Hole allows you to keep any Add-ons your Item has upon escaping.",40,,en
Survivor,W. Bill Overbeck,BO,Left Behind,LeftBehind,"You'll get the job done... No matter the cost. When you are the last Survivor remaining in the Trial, the Aura of the Hatch is revealed to you within a range of 24/28/32 metres.",30,,en
Survivor,W. Bill Overbeck,BO,Borrowed Time,BorrowedTime,"You are fuelled with an unexpected energy when saving an Ally from a Hook within the Killer's Terror Radius. After unhooking a Survivor within the Killer's Terror Radius, for 15 seconds, any damage taken that would put the unhooked Survivor into the Dying State will instead apply the Deep Wound Status Effect. The Survivor has 10/15/20 seconds to mend themselves. If the unhooked Survivor takes any damage while affected by Deep Wound or if its timer ends, the unhooked Survivor is immediately put into the Dying State.",35,,en
Survivor,W. Bill Overbeck,BO,Unbreakable,Unbreakable,Past battles have taught you a thing or two about survival. Grants the ability to fully recover from the Dying State once per Trial. Increases the Dying State Recovery speed by 25/30/35 %.,40,,en
Survivor,Feng Min,FM,Technician,Technician,"You are apt at handling machinery with the greatest care and precision. The noises caused by your Repairs and their hearing distance are reduced by 8 metres. On a failed Repair Skill Check, there is a 50 % chance that the Generator Explosion will be prevented.",30,,en
Survivor,Feng Min,FM,Lithe,Lithe,"After performing a rushed vault, break into a sprint at 150 % of your normal running speed for a maximum of 3 seconds. Causes the Exhausted Status Effect for 40 seconds. Lithe cannot be used while Exhausted. You do not recover from Exhaustion while running.",35,,en
Survivor,Feng Min,FM,Alert,Alert,"Your acute senses are on high alert. When the Killer performs a Pallet Break or Generator Damage action, their Aura is revealed to you for 5 seconds.",40,,en
Survivor,David King,DK,We're Gonna Live Forever,WereGonnaLiveForever,"Your few friends deserve the best protection. Each time you perform a Safe Hook Rescue or take a Protection Hit for a Survivor, gain a stack-able 25 % Bonus to all Bloodpoint gains up to a maximum of 100 %. The Bonus Bloodpoints are only awarded post-Trial.",30,,en
Survivor,David King,DK,Dead Hard,DeadHard,"Activate-able Perk. You can take a beating. When Injured, tap into your adrenaline bank and dash forward quickly to avoid damage. Press the Active Ability button while running to dash forward. During the dash, you avoid damage. Causes the Exhausted Status Effect for40 seconds. Dead Hard cannot be used while Exhausted. You do not recover from Exhaustion while running.",35,,en
Survivor,David King,DK,No Mither,NoMither,You are affected by the Broken Status Effect for the duration of the Trial. Your thick blood coagulates practically instantly. • You do not leave Pools of Blood. • Grunts of Pain caused by injuries are reduced by 50 % at any time. • Grants the ability to fully recover from the Dying State.,40,,en
Survivor,Quentin Smith,ES,Wake Up!,WakeUp,"Unlocks potential in one's Aura-reading ability. Once all Generators are powered, Exit Gates are revealed to you when within a range of 128 metres. While opening the Exit Gates, reveal your to other Survivors within a range of 128 metres. While Wake Up! is active, you open Exit Gates 15 % faster.",30,,en
Survivor,Quentin Smith,ES,Pharmacy,Pharmacy,You have a knack for finding medicine. Searches through Chests are 80 % faster and the noises they cause along with their hearing distance are reduced by 8 metres. Pharmacy guarantees an Emergency Med-Kit on your first completed Chest Search.,35,,en
Survivor,Quentin Smith,ES,Vigil,Vigil,"You look over your friends even in dire situations. You and your Allies within a range of 8 metres recover from Exhaustion, Haemorrhage, Mangled, Hindered and Blindness Status Effects 20 % faster. Once out of range, this effect persists for 15 seconds.",40,,en
Survivor,David Tapp,FS,Tenacity,Tenacity,There is nothing stopping you. Your ferocious tenacity in dire situations allows you to crawl 50 % faster and recover at the same time.,30,,en
Survivor,David Tapp,FS,Detective's Hunch,DetectivesHunch,"Unlocks potential in one's Aura-reading ability. After a Generator is completed, the Auras of Generators, Chests and Totems within 64 metres are revealed to you for 10 seconds. If you are holding a Map that can track Objectives, Generators revealed by Detective's Hunch are added to the Map.",35,,en
Survivor,David Tapp,FS,Stake Out,StakeOut,"Getting close to the Killer fills you with determination. For each 15 seconds you are standing within the Killer's Terror Radius and are not in a Chase, you gain a Token up to a maximum of 4 Tokens. When Stake Out has at least 1 Token, Good Skill Checks are considered Great Skill Checks and consume 1 Token.",40,,en
Survivor,Kate Denson,GS,Dance With Me,DanceWithMe,"When performing a fast vault or leaving a Locker in a sprint, you leave no Scratch Marks for 3 seconds. Dance With Me has a cool-down of 40 seconds.",30,,en
Survivor,Kate Denson,GS,Windows of Opportunity,WindowsofOpportunity,Unlocks potential in one's Aura-reading ability. Auras of Pallets and Vaults are revealed to you when within a range of 20 metres. Windows of Opportunity has a cool-down of 20 seconds when vaulting or dropping a Pallet during a Chase.,35,,en
Survivor,Kate Denson,GS,Boil Over,BoilOver,You are a battler and do everything to escape a foe's grasp. Your struggling effects on the Killer are increased by 75 %. You obscure the Killer's ability to see Hook Auras within 14 metres.,40,,en
Survivor,Adam Francis,HS,Diversion,Diversion,"Activate-able Perk. Standing within the Killer's Terror Radius while not in a Chase for 45 seconds activates Diversion. Once Diversion is activated, press the Active Ability button while crouched and motionless to throw a pebble, which creates a loud noise notification for the Killer at a distance of 20 metres. Diversion deactivates once it has been used.",30,,en
Survivor,Adam Francis,HS,Deliverance,Deliverance,"After performing a Safe Hook Rescue on another Survivor, the Perk activates. You now have a 100 % chance to unhook yourself during the escape attempt. A successful Deliverance from the Hook triggers the Broken Status Effect for 60 seconds.",35,,en
Survivor,Adam Francis,HS,Autodidact,Autodidact,"You stand up for yourself, using whatever's on hand to gain an advantage. Press and hold the Active Ability button for 4 seconds while standing beside a dropped Pallet to reset it to its upright position. Any Means Necessary has a cool-down of 120 seconds.",40,,en
Survivor,Jeff Johansen,KS,Breakdown,Breakdown,"Any time you are unhooked or unhook yourself, the Hook breaks and the Killer's is shown to you for 6 seconds.",30,,en
Survivor,Jeff Johansen,KS,Aftercare,Aftercare,Unlocks potential in one's Aura-reading ability. You see the Aura of every Survivor that: • You rescued from a Hook or who rescued you from one. • You completed a Healing action on or who completed one on you. They also see your Aura. This occurs for up to 3 Survivors. All effects of Aftercare are reset when you are hooked by the Killer.,35,,en
Survivor,Jeff Johansen,KS,Distortion,Distortion,"You start the Trial with 3 Tokens. When your Aura would be shown to the Killer, the Perk activates and a Token is consumed. For the next 10 seconds while the Perk is activated, your Aura and Scratch Marks will not be shown to the Killer. Distortion does not activate when you are in the Dying State or affected by Traps.",40,,en
Survivor,Jane Romero,MS,Solidarity,Solidarity,"Sharing painful experiences has the power to heal. While injured, healing a Survivor without using a Med-Kit also heals you at a 50 % conversion rate.",30,,en
Survivor,Jane Romero,MS,Poised,Poised,"Achieving goals boosts your confidence. After a Generator is completed, you leave no Scratch Marks for 10 seconds.",35,,en
Survivor,Jane Romero,MS,Head On,HeadOn,"When your mind is set, there better be no one standing in your way. While standing in a Locker for 3 seconds, Head On activates. While Head On is activated, performing a rushed action to leave a Locker stuns the Killer for 3 seconds if they are standing within range. Causes the Exhausted Status Effect for 40 seconds if the stun was successful. You do not recover from Exhaustion while running. Head On cannot be used while Exhausted or when you have accrued Stillness Crows.",40,,en
Survivor,Ash Williams,AW,Flip-Flop,FlipFlop,"You have an uncanny ability to escape the inevitable. While in the Dying State, 50 % of your recovery progression is converted into wiggle progression when you are picked up by the Killer, up to a maximum of 50 % total wiggle progression.",30,,en
Survivor,Ash Williams,AW,Buckle Up,BuckleUp,"Unlocks potential in one's Aura-reading ability. The recovery progress of dying Survivors can be determined by the intensity of their Auras at a distance of up to 48 metres. When you heal a Survivor from the Dying State to Injured, both the healed Survivor and yourself see the Killer's Aura for a duration of 6 seconds.",35,,en
Survivor,Ash Williams,AW,Mettle of Man,MettleofMan,"Evil has a way of always finding you. After you earn 3 Protection Hit Score Events, Mettle of Man activates. Once activated, the next occasion that would put you into the Dying State from the Injured State is ignored.The next time you heal back to full health, your Aura will be revealed to the Killer when you are farther than 12/14/16 metres from the Killer. Mettle of Man will deactivate the next time you are put into the Dying State. Increases your chances of being the Obsession. The Killer can only be obsessed with one Survivor at a time.",40,,en
Survivor,Nancy Wheeler,QF,Better Together,BetterTogether,"You seek justice and uncover the truth no matter what obstacle stands in your way. The Aura of the Generator you are currently repairing is revealed to all other Survivors located within 32 metres. If the Killer downs a Survivor while you are repairing a Generator, you see the Auras off all other Survivors for 10 seconds.",30,,en
Survivor,Nancy Wheeler,QF,Fixated,Fixated,"When you have a goal in mind, there's no turning back; better to ask forgiveness than permission. You can see your own Scratch Marks at all times. While uninjured, you walk 20 % faster.",35,,en
Survivor,Nancy Wheeler,QF,Inner Strength,InnerStrength,"You look inwards and trust your instincts when you feel lost and alone. Each time you cleanse a Totem, Inner Strength activates. While Inner Strength is activated, hiding inside a Locker for 8 seconds while Injured automatically heals you to the Healthy State. Inner Strength does not activate if you are afflicted by the Broken Status Effect.",40,,en
Survivor,Steve Harrington,QM,Babysitter,Babysitter,"While you have a reputation for being self-centred, you risk it all to help those in need. When you unhook a Survivor, the unhooked Survivor leaves no Scratch Marks or Blood Trail for the next 8 seconds. Both you and the Killer see each other's Aura for 4 seconds.",30,,en
Survivor,Steve Harrington,QM,Camaraderie,Camaraderie,"Life has taught you the importance of friendship which has given you strength. While you are on the Hook in the Struggle Phase, Camaraderie activates. If another Survivor is within 16 metres of your Hook while Camaraderie is activated, the Struggle Phase timer is paused for 34 seconds.",35,,en
Survivor,Steve Harrington,QM,Second Wind,SecondWind,"You have learnt to avoid awkward situations with parents. When you have healed other Survivors for the equivalent of one Health State, Second Wind activates. While Second Wind is activated, the next time you are unhooked or unhook yourself, you are affected by the Broken Status Effect. After a total duration of 30 seconds, Second Wind automatically heals you from Injured to the Healthy State. Second Wind deactivates once you are completely healed or if you are put into the Dying State before Second Wind successfully triggers. You will lose the Broken Status Effect once Second Wind deactivates. Second Wind does not activate if you are already afflicted by the Broken Status Effect.",40,,en
Survivor,Yui Kimura,SS,Lucky Break,LuckyBreak,"You've had your share of scrapes and bruises, but luck's always on your side. Lucky Break activates any time you are injured. While Lucky Break is active, you won't leave trails of blood for a total of 180 seconds. Lucky Break becomes permanently deactivated for the remainder of the Trial once the total duration has elapsed.",30,,en
Survivor,Yui Kimura,SS,Any Means Necessary,AnyMeansNecessary,"You stand up for yourself, using whatever's on hand to gain an advantage. Press and hold the Active Ability button for 4 seconds while standing beside a dropped Pallet to reset it to its upright position. Any Means Necessary has a cool-down of 120 seconds.",35,,en
Survivor,Yui Kimura,SS,Breakout,Breakout,"You kick into high gear when someone's in trouble, inspiring them to overcome any obstacle. When within 6 metres of a carried Survivor, you gain the Haste Status Effect, moving at an increased speed of 7 %. The carried Survivor's wiggle speed is increased by 20 %.",40,,en
Survivor,All,All,Dark Sense,DarkSense,"Unlocks potential in one's Aura-reading abilities. Each time a Generator is completed, the Killer's Aura is revealed to you for 5 seconds. When the last Generator is powered, the Killer's Aura is revealed to you for 10 seconds.",,,en
Survivor,All,All,Déjà Vu,DejaVu,"Unlocks potential in one's Aura-reading ability. The Auras of 3 Generators in closest proximity to each other are revealed to you for 60 seconds, at the start of the Trial and each time a Generator is completed. If you are holding a Map that can track Objectives, Generators revealed by Déjà Vu are added to the Map.",,,en
Survivor,All,All,Hope,Hope,"The growing odds of a successful escape fill you with hope and give you wings. As soon as the Exit Gates are powered, you gain a 7 % Haste status Effect for 120 seconds.",,,en
Survivor,All,All,Kindred,Kindred,"Unlocks potential in one's Aura-reading ability. While you are on the Hook, all Survivor Auras are revealed to all Survivors. If the Killer is within a range of 16 metres, their Aura is also revealed to all Survivors. While any other Survivor is on the Hook, all Survivor Auras are revealed to you. If the Killer is within a range of 16 metres, their Aura is also revealed to you.",,,en
Survivor,All,All,Lightweight,Lightweight,"Your running is light and soft, making your tracks harder to follow. Scratch Marks stay visible 3 seconds less than normal.",,,en
Survivor,All,All,No One Left Behind,NoOneLeftBehind,"It is inconceivable to leave someone behind. Once at least one Exit Gates has been opened, triggering the Endgame Collapse, gain 100 % more Bloodpoints for actions in the Altruism Category and perform them 50 % quicker. The Auras of all other Survivors are revealed to you.",,,en
Survivor,All,All,Plunderer's Instinct,PlunderersInstinct,Unlocks potential in one's Aura-reading ability.  The Auras of Chests are revealed to you when standing within 32 metres of range. Grants a considerably better chance at finding an Item of a higher Rarity from Chests.,,,en
Survivor,All,All,Premonition,Premonition,You have the undeniable capability to sense danger.  Get an auditory warning when looking in the direction of the Killer in a 45° cone within a range of 36 metres. Premonition has a cool-down of 30 seconds each time it activates. Premonition trumps any of the Killer's stealth abilities.,,,en
Survivor,All,All,Resilience,Resilience,"You are motivated in dire situations. Grants 9 % increased Healing, Sabotage, Unhooking, Vaulting, Cleansing, Exit Gate Opening, and Chest Searching speeds while Injured.",,,en
Survivor,All,All,Slippery Meat,SlipperyMeat,You have developed an efficient way to get out of Bear Traps and Hooks. Grants up to 3 extra escape attempts on the Hook. The odds of freeing yourself from Bear Traps are increased by 25 %.,,,en
Survivor,All,All,Small Game,SmallGame,You have the undeniable capability to sense danger. Get an auditory warning when looking in the direction of Killer Traps and Totems in a 45° cone within a range of 12 metres. Small Game has a cool-down of 10 seconds each time it activates. Only works on Traps that are set by Killers.,,,en
Survivor,All,All,Spine Chill,SpineChill,"An unnatural tingle warns you of impending doom. Get notified when the Killer is looking directly in your direction and standing within a range of 36 metres. When Spine Chill is active, Skill Check trigger odds are increased by 10 % with success zones reduced by 10 % and your Repair, Heal and Sabotage speeds are increased by 6 %.",,,en
Survivor,All,All,This Is Not Happening,ThisIsNotHappening,"You perform at your best when you are under extreme stress. Great Skill Check success zones when repairing, healing and sabotaging get 30 % bigger when you are Injured.",,,en
Survivor,All,All,We'll Make It,WellMakeIt,"Helping others heightens your morale. For each Survivor you rescue from a Hook, gain an additional 100 % speed increase to healing up others for 90 seconds. Cumulative Healing Speed bonuses cannot exceed 100 %.",,,en
Killer,Trapper,TR,Unnerving Presence,UnnervingPresence,"Your presence alone instils great fear. Survivors within your Terror Radius have a 10 % greater chance of triggering Skill Checks when repairing, healing or sabotaging. Triggered Skill Checks' success zones are reduced by 60 %.",30,,en
Killer,Trapper,TR,Brutal Strength,BrutalStrength,Your great strength allows you to shred through your prey's defences. Destroy dropped Pallets and damage Generators 20 % faster.,35,,en
Killer,Trapper,TR,Agitation,Agitation,"You get excited in anticipation of hooking your prey. Increases your Movement speed while transporting bodies by 18 %. While transporting a body, your Terror Radius is increased by 12 metres.",40,,en
Killer,Wraith,WR,Predator,Predator,Your acute tracking ability allows you to hone in on disturbances left by running Survivors. Scratch Marks left by Survivors will spawn slightly/moderately/considerably closer together.,30,,en
Killer,Wraith,WR,Bloodhound,Bloodhound,"Like a hunting scent hound, you smell traces of blood at a great distance. Fresh Blood Stains are considerably more discernible than normal and can be tracked for 4 seconds longer than normal.",35,,en
Killer,Wraith,WR,Shadowborn,Shadowborn,You have a keen vision in the darkness of the night. Your Field of View is increased by 15 °. Field of View gains do not stack.,40,,en
Killer,Hillbilly,HB,Enduring,Enduring,You are resilient to pain. You reduce the duration of Pallet Stuns by 50 %.,30,,en
Killer,Hillbilly,HB,Lightborn,Lightborn,"Unlike other beasts of The Fog, you have adapted to light. Resistance to Blindness is increased by 80 %. Recovery from Blindness is increased by 50 %.",35,,en
Killer,Hillbilly,HB,Tinkerer,Tinkerer,"When a Generator is repaired to 85 %, you receive a Loud Noise notification and your Terror Radius is reduced to 0 metres for 12 seconds.",40,,en
Killer,Nurse,NR,Stridor,Stridor,You are acutely sensitive to the breathing of your prey. Survivors' Grunts of Pain are 50 % louder and regular breathing is 25 % louder.,30,,en
Killer,Nurse,NR,Thanatophobia,Thanatophobia,"Their courage fades in the face of their undeniable mortality. For each Injured, Dying or hooked Survivor, all Survivors receive a stack-able penalty of 3/3.5/4 % to their Repair, Healing and Sabotage speed up to a maximum of 16 %.",35,,en
Killer,Nurse,NR,A Nurse's Calling,AnursesCalling,"Unlocks potential in one's Aura-reading ability. The Auras of Survivors who are healing or being healed are revealed to you when they are within a range of 28 metres,",40,,en
Killer,Myers,SH,Save the Best for Last,SavetheBestforLast,You become obsessed with one Survivor. Earn a Token for each successful hit that is not dealt to the Obsession. Each Token grants a stack-able 5 % cool-down reduction on successful attacks. You can earn up to 8 Tokens. Attacking your Obsession will make you lose 2 Tokens. You can no longer gain Tokens if your Obsession is sacrificed or killed. You can only be obsessed with one Survivor at a time.,30,,en
Killer,Myers,SH,Play with Your Food,PlaywithYourFood,"You become obsessed with one Survivor. Every time you chase your Obsession and let them escape, you receive a Token up to a maximum of 3 Tokens. Each Token increases your Movement speed by 5 %. Each offensive action spends 1 Token. You can only be obsessed with one Survivor at a time.",35,,en
Killer,Myers,SH,Dying Light,DyingLight,"You become obsessed with one Survivor. Your Obsession gains a 33 % Action Speed bonus to unhooking and healing other Survivors. Each time you hook a Survivor that is not the Obsession and the Obsession is alive, gain a Token. If the Obsession is alive, all others Survivors get a stack-able 3 % penalty to Repair, Healing, and Sabotage speed for each Token. You can only be obsessed with one Survivor at a time.",40,,en
Killer,Hag,HA,Hex: The Third Seal,HexTheThirdSeal,A Hex that hinders one's Aura-reading ability. Hitting a Survivor while the Hex Totem is active applies the Blindness Status Effect. This effect applies to the last 4 Survivors hit. The Hex effects persist as long as the related Hex Totem is standing.,30,,en
Killer,Hag,HA,Hex: Ruin,HexRuin,"A Hex that affects the Survivors' skills at repairing Generators. All Survivors are affected by Ruin, which causes the following: • Good Skill Checks result in a 5 % Regression penalty on the Generator. • Great Skill Checks grant 0 % Bonus Progression on the Generator. The Hex effects persist as long as the related Hex Totem is standing.",35,,en
Killer,Hag,HA,Hex: Devour Hope,HexDevourHope,"A Hex rooting its power on hope. The false hope of Survivors ignites your hunger. When a Survivor is rescued from a Hook at least 24 metres away, Devour Hope receives a Token. • 2 Tokens: Gain a 3/4/5 % Haste Status Effect 10 seconds after hooking a Survivor, for a duration of 10 seconds. • 3 Tokens: Survivors suffer from the Exposed Status Effect. • 5 Tokens: Grants the ability to kill Survivors by your own hand. The Hex effects persist as long as the related Hex Totem is standing.",40,,en
Killer,Doctor,DO,Overwhelming Presence,OverwhelmingPresence,Your presence alone instils great fear. Survivors within your Terror Radius suffer from inefficiency. Affected Survivors' Item Consumption rates are increased by 100 %.,30,,en
Killer,Doctor,DO,Monitor & Abuse,MonitorAbuse,"Meticulous in your approach, terrifying in your application. While in a Chase, your Terror Radius is increased by 8 metres. Otherwise, your Terror Radius is decreased by 8 metres and your Field of View is increased by 10 °. Field of View gains do not stack.",35,,en
Killer,Doctor,DO,Overcharge,Overcharge,"You are fuelled by your hate for progress. Overcharge a Generator by performing the Damage Generator action. The next Survivor interacting with that Generator is faced with a tremendously difficult Skill Check. Failing the Skill Check results in an additional 5 % Regression penalty. Succeeding the Skill Check grants no progress, but prevents the Generator Explosion.",40,,en
Killer,Huntress,BE,Beast of Prey,BeastofPrey,"Your lust for a kill is so intense that your connection with The Entity is momentarily lost, making you totally unpredictable. The Red Stain disappears after gaining Bloodlust Tier I and stays hidden until you lose Bloodlust. Gain 50 % more Bloodpoints for actions in the Hunter Category.",30,,en
Killer,Huntress,BE,Territorial Imperative,TerritorialImperative,Unlocks potential in one's Aura-reading ability. Survivors' Auras are revealed to you for 3 seconds when they enter the Basement and you are more than 32 metres away from the Basement entrance. Territorial Imperative can only be triggered once every 20 seconds.,35,,en
Killer,Huntress,BE,Hex: Huntress Lullaby,HexHuntressLullaby,"A Hex rooting its power in despair. Your hunt is an irresistible song of dread which muddles your prey's attention. Survivors receive a 6 % Regression penalty when missing any Skill Check. Each time a Survivor is hooked, Huntress Lullaby grows in power: • 1 to 4 Tokens: Time between the Skill Check warning sound and the Skill Check becomes shorter. • 5 Tokens: No Skill Check warning. The Hex effects persist as long as the related Hex Totem is standing.",40,,en
Killer,Cannibal,CA,Knock Out,KnockOut,The trauma caused by your brutal attacks makes crying for help painfully difficult. Dying Survivors' Auras are not revealed to other Survivors when they are standing outside of a range of 16 metres.,30,,en
Killer,Cannibal,CA,Barbecue & Chilli,BarbecueChilli,"A deep bond with The Entity unlocks potential in one's Aura-reading ability. After hooking a Survivor, all other Survivors' Auras are revealed to you for 4 seconds when they are farther than 40 metres from the Hook. Each time a Survivor is hooked for the first time, gain a 25 % stack-able bonus to all Bloodpoint gains up to a maximum of 100 %. The bonus Bloodpoints are only awarded post-Trial.",35,,en
Killer,Cannibal,CA,Franklin's Demise,FranklinsDemise,"Your vicious Basic Attacks make the Survivors drop their Item on impact. The lost Item is damaged in the fall, losing 10 % of its base amount of Charges.",40,,en
Killer,Freddy,EK,Fire Up,FireUp,"The increased pressure of losing your preys fills you with anger and gives you unsuspected motivation. Each time the Survivors complete repairs on a Generator, Fire Up grows in power. • For each Generator completed, gain a stack-able 4 % buff to Picking-Up, Dropping, Pallet Breaking, Generator Damaging and Vaulting speeds for the remainder of the Trial.",30,,en
Killer,Freddy,EK,Remember Me,RememberMe,"You become obsessed with one Survivor. Each time you hit your Obsession, you increase the Exit Gate Opening time by 4 seconds up to a maximum of 16 additional seconds. The Obsession is not affected by Remember Me. You can only be obsessed with one Survivor at a time.",35,,en
Killer,Freddy,EK,Blood Warden,BloodWarden,"As soon as the Exit Gate is opened, Blood Warden is activated. The Auras of any Survivors located within Exit Gate areas are revealed to you. Once per Trial, hooking a Survivor while Blood Warden is active calls upon The Entity to block both Exits for all Survivors for 60 seconds.",40,,en
Killer,Pig,FK,Hangman's Trick,HangmansTrick,"Unlocks potential in one's Aura-reading ability. All regressing Generators will be highlighted by a white Aura. Once regression ends, Generators will be highlighted by a yellow Aura for 16 seconds. Noises created by Generator Repairs are audible at an additional 8 metres.",30,,en
Killer,Pig,FK,Surveillance,Surveillance,"Unlocks potential in one's Aura-reading ability. All regressing Generators will be highlighted by a white Aura. Once regression ends, Generators will be highlighted by a yellow Aura for 16 seconds. Noises created by Generator Repairs are audible at an additional 8 metres.",35,,en
Killer,Pig,FK,Make Your Choice,MakeYourChoice,"When a Survivor rescues another Survivor from a Hook that is at least 32 metres away from you, Make Your Choice triggers and applies the Exposed Status Effect on the rescuer for 60 seconds. Make Your Choice has a cool-down of 60 seconds.",40,,en
